timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577398854.093,-27.71766886934215,-51.09884522910784,1010.7376196343706,8.0,196.82028,1.0591824,0,gps,1.0,1.7,2.0,3.6,,,,85,,0.0,0.0
1577398855.092,-27.717689918436964,-51.098938152767154,1001.905421286916,6.0,244.77179,1.1281757,11,gps,0.9,1.5,1.8,3.6,,,,85,,9.456059001717366,0.999000072479248
1577398856.083,-27.71770041710311,-51.09895317806176,998.9896134511972,6.0,270.39398,0.22072881,11,gps,0.9,1.6,1.8,3.6,,,,85,,1.8839061173306493,0.9909999370574951
1577398857.083,-27.71770012437948,-51.09895327865364,994.7213603737928,8.0,,0.0,14,gps,0.8,1.3,1.6,3.6,,,,85,,0.033921099972997,1.0
1577398858.083,-27.71770012728059,-51.09895346516316,993.1997883760336,8.0,,0.0,14,gps,0.8,1.3,1.5,3.6,,,,85,,0.018395821409048392,1.0
1577398859.0,-27.717700431185087,-51.0989536555624,990.2403039802764,8.0,,0.0,14,gps,0.8,1.3,1.5,3.6,,,,85,,0.03855789588314058,0.9170000553131104
1577398860.0,-27.71770066252548,-51.09895391129172,988.4507388353052,6.0,,0.0,14,gps,0.8,1.3,1.5,3.6,,,,85,,0.03596128337863821,1.0
1577398861.0,-27.717701319863192,-51.09895394475956,987.640460560126,6.0,,0.0,15,gps,0.8,1.3,1.5,3.6,,,,85,,0.07291755656057515,1.0
1577398862.0,-27.717701888665975,-51.0989540518481,986.0160801404631,6.0,,0.0,15,gps,0.8,1.3,1.5,3.6,,,,85,,0.06391041560143866,1.0
1577398864.0,-27.71770851366688,-51.0989589562024,983.9939248190996,4.0,,0.0,15,gps,0.8,1.3,1.5,3.6,,,,85,,0.8791442392313538,2.0
1577398865.0,-27.71770887817823,-51.09895903462304,982.7974966706884,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.04112696075364808,1.0
1577398866.0,-27.71771465605299,-51.09896656089192,982.2978579308916,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.980224131685402,1.0
1577398867.0,-27.71771526152633,-51.09896655544411,981.785814515635,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.06709762660004731,1.0
1577398868.0,-27.71771579761624,-51.09896668398256,980.883958736769,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.060744100521354025,1.0
1577398869.0,-27.71772040377218,-51.09896948631117,980.267487052236,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.5804419814512078,1.0
1577398870.0,-27.717720792384068,-51.09896959004524,979.3830322948528,4.0,,0.0,16,gps,0.8,1.3,1.5,3.6,,,,85,,0.044262390634120546,1.0
1577398871.0,-27.71772575612967,-51.098973368921584,978.89514740294,4.0,,0.0,16,gps,0.8,1.3,1.6,3.6,,,,85,,0.6644089717354597,1.0
1577398872.0,-27.717727455110648,-51.09897356583076,978.5521873361332,4.0,1.8360403,0.018901316,16,gps,0.8,1.3,1.6,3.6,,,,85,,0.18927120770588812,1.0
1577398873.0,-27.717727712174515,-51.09897387579336,978.2392302187816,4.0,0.7346295,0.018807968,16,gps,0.8,1.3,1.6,3.6,,,,85,,0.04178346667945621,1.0
1577398874.0,-27.71772912145292,-51.09897714014734,977.88222044354,4.0,3.9176872,0.0063408148,16,gps,0.8,1.4,1.6,3.6,,,,85,,0.3578012694947562,1.0
